yearID,lgID,dh_in_league,ERA
1967,AL,no,3.6932770231708707
1981,NL,no,3.8946026471093793
2011,NL,no,4.1708828084667005
2008,AL,yes,4.721561969439729
2003,AL,yes,4.922076637824475
2010,AL,yes,4.463718652619083
2018,AL,yes,4.60165892093195
1954,AL,no,4.216749212066636
1946,AL,no,4.0980835291990605
2007,AL,yes,4.876815065664492
2015,NL,no,4.238179306109917
2020,NL,yes,4.898344026356858
1987,NL,no,4.5422061108234075
2011,AL,yes,4.453114215283484
2022,AL,yes,4.264410291298163
1950,AL,no,5.133357657575481
1964,NL,no,4.038535689694744
1968,AL,no,3.4210719193770043
1963,NL,no,3.8223357229564145
2013,NL,no,4.044933020048213
2000,AL,yes,5.339854029094881
1978,NL,no,4.0198846153846155
1980,NL,no,4.031337351917701
1959,NL,no,4.449761631766339
1961,NL,no,4.570737605804111
1952,AL,no,4.179424481884598
1965,AL,no,3.9542390756109858
1984,AL,yes,4.4498520710059175
1982,NL,no,4.07693330799924
1954,NL,no,4.592408891577197
2019,AL,yes,4.986568723875092
1949,NL,no,4.5788003484215904
1975,NL,no,4.133216175431224
2006,NL,no,4.884902969270001
1989,NL,no,3.938462415877723
1979,AL,yes,4.724943894938076
1983,AL,yes,4.516197426162418
1997,NL,no,4.632925765629372
1973,AL,yes,4.301168806284728
1983,NL,no,4.11986713246664
1988,NL,no,3.8727355936081764
1955,NL,no,4.570327436045277
2009,NL,no,4.529871854075272
2021,NL,no,4.599949840901609
1980,AL,yes,4.5155668497417825
1962,NL,no,4.520496894409938
1948,NL,no,4.496850944716585
2001,NL,no,4.753073400459385
1986,AL,yes,4.654726942748721
2006,AL,yes,4.938571641568511
1976,AL,yes,3.994485259040168
1966,NL,no,4.096944151738673
1957,AL,no,4.214200119832235
1968,NL,no,3.418908793678905
2020,AL,yes,4.8115948238923645
2019,NL,no,4.74129574526826
2024,NL,yes,4.510149539640363
1995,AL,yes,5.1193257676902535
1977,AL,yes,4.560077136075949
1992,AL,yes,4.339514978601997
1967,NL,no,3.8375697174727987
2007,NL,no,4.795904906655961
1975,AL,yes,4.31460218830204
2001,AL,yes,4.903626379062979
1993,NL,no,4.521148979524764
1976,NL,no,3.989784617734667
1999,NL,no,4.994323093769812
1969,NL,no,4.08400751504927
1949,AL,no,4.7513024403619415
1990,NL,no,4.231953820190242
1946,NL,no,3.9930835388223973
1996,AL,yes,5.419978623694812
1991,AL,yes,4.491610244333235
1996,NL,no,4.7122578737246785
1994,NL,no,4.652751335035988
1962,AL,no,4.453806407165001
1986,NL,no,4.170568370442448
1958,AL,no,4.2118105950653115
1953,NL,no,4.851222846726417
2009,AL,yes,4.815118968935889
1974,NL,no,4.151788266229683
2018,NL,no,4.3519126517523095
1985,NL,no,4.068232107431711
1970,AL,no,4.1830114059723735
1992,NL,no,3.8770523027694184
2021,AL,yes,4.6965869347989
1990,AL,yes,4.3460782532578
2014,NL,no,4.005546642218657
2004,AL,yes,5.029830106677203
2005,AL,yes,4.734588701684837
1960,NL,no,4.248973352117742
1970,NL,no,4.533684311285537
2024,AL,yes,4.3999257161428105
1965,NL,no,4.030731407498464
1973,NL,no,4.15044045303741
1998,NL,no,4.625086058519793
2012,AL,yes,4.427902390929258
2014,AL,yes,4.1501620894244295
2002,AL,yes,4.848145209283873
2023,AL,yes,4.633957950349899
2023,NL,yes,4.737311906274699
1951,AL,no,4.653740614540301
1994,AL,yes,5.268570357703389
1988,AL,yes,4.395006687472136
2000,NL,no,5.072384937238494
1999,AL,yes,5.313481653660967
1972,NL,no,3.8927366540980355
1958,NL,no,4.423405992079088
2002,NL,no,4.497468080502056
1950,NL,no,4.7085894214175426
1956,AL,no,4.695935941985194
1982,AL,yes,4.498008359970494
1998,AL,yes,5.060048857784234
1960,AL,no,4.396463051520347
2016,NL,no,4.516731708816028
1978,AL,yes,4.244387502066457
1971,AL,no,3.889115934765007
2005,NL,no,4.571381060485562
2016,AL,yes,4.52103095645736
1977,NL,no,4.39646017699115
1953,AL,no,4.48521744371779
1948,AL,no,4.7868444228491605
1964,AL,no,4.0686281217926785
2022,NL,yes,4.434608830364058
1971,NL,no,3.91452877334198
1985,AL,yes,4.600326991676575
1987,AL,yes,4.9519533893409475
2010,NL,no,4.397415722226232
1955,AL,no,4.48177146311971
1995,NL,no,4.650033229951263
1997,AL,yes,4.980262397887614
2008,NL,no,4.658847938218598
1961,AL,no,4.580268022181146
2012,NL,no,4.305659504991981
2017,AL,yes,4.71705294951612
1979,NL,no,4.227658760520276
1957,NL,no,4.353311740409474
1959,AL,no,4.389667963448837
1981,AL,yes,4.0868768419227814
1993,AL,yes,4.7504903819209785
1989,AL,yes,4.340121896833655
2017,NL,no,4.679711462877048
1984,NL,no,4.077323334736198
1969,AL,no,4.092934679108741
2004,NL,no,4.689363172902445
1956,NL,no,4.291202169328111
1972,AL,no,3.4808550669522225
1974,AL,yes,4.11401062163298
1991,NL,no,4.1175737591779615
2013,AL,yes,4.307254883976887
1947,AL,no,4.193661971830986
1966,AL,no,3.897419384516307
2015,AL,yes,4.323617534532827
1947,NL,no,4.652088018965412
1952,NL,no,4.209594051325454
1951,NL,no,4.479827864443249
1963,AL,no,4.0813881571412205
2003,NL,no,4.6409109921968525
